column,zscore_outliers,zscore_percentage,iqr_outliers,iqr_percentage
High,273,3.1307339449541285,456,5.229357798165138
Close,271,3.107798165137615,460,5.275229357798166
Open,271,3.107798165137615,459,5.263761467889908
Low,268,3.073394495412844,461,5.286697247706422
Volume,190,2.1788990825688073,1024,11.743119266055047
Put_Call_Ratio,174,1.9954128440366974,391,4.48394495412844
VIX,174,1.9954128440366974,391,4.48394495412844
sp500_Volume,135,1.548165137614679,530,6.077981651376147
Unemployment_Rate,82,0.9403669724770642,126,1.444954128440367
sector_XLK,28,0.3211009174311927,44,0.5045871559633028
spy_RSI,17,0.19495412844036697,19,0.21788990825688076
qqq_RSI,6,0.06880733944954129,7,0.08027522935779817
Fed_Funds_Rate,0,0.0,0,0.0
CPI,0,0.0,0,0.0
sp500_Open,0,0.0,0,0.0
sp500_Low,0,0.0,0,0.0
sp500_Close,0,0.0,0,0.0
sp500_High,0,0.0,0,0.0
GDP,0,0.0,0,0.0
Market_Breadth,0,0.0,0,0.0
sector_XLV,0,0.0,0,0.0
sector_XLF,0,0.0,0,0.0
sector_XLI,0,0.0,0,0.0
sector_XLE,0,0.0,1109,12.717889908256879
spy_SMA_50,0,0.0,0,0.0
spy_SMA_200,0,0.0,0,0.0
qqq_SMA_50,0,0.0,0,0.0
qqq_SMA_200,0,0.0,0,0.0
